Temperature,Volume,D,SM1,SM2,W,Mixing,Time,SM1B,SM2B,SM3B,WB,P,I1,I2,I3,I4
40,1,0.05,1,1.15,0.3,200,4.5,0.041318895,0.020806377,0.261857955,0.281219465,0.932785145,0.005366246,0.015432013,0.000207539,0.000215075
40,1,0.05,1,1.15,0.3,200,5.25,0.044664259,0.010481083,0.247521586,0.281010511,0.945589931,0.006107115,0.01557407,0.000274437,0.000264921
40,1,0.05,1,1.15,0.3,200,6,0.046527526,0.005330255,0.239791831,0.280867875,0.951835995,0.006823794,0.015645898,0.000345245,0.000315253
40,1,0.05,1,1.15,0.3,200,0.75,0.008290027,0.622328221,0.796425597,0.296667074,0.34816511,0.000476474,0.00721781,1.08E-05,9.09E-06
40,1,0.05,1,1.15,0.3,200,1.5,0.011436536,0.391637997,0.566170575,0.292170752,0.576625433,0.001362311,0.011699745,2.52E-05,3.21E-05
40,1,0.05,1,1.15,0.3,200,2.25,0.015611921,0.243600656,0.415810152,0.289380917,0.725156806,0.002260778,0.014470047,4.48E-05,6.42E-05
40,1,0.05,1,1.15,0.3,200,3,0.020676599,0.150364139,0.318387301,0.287651977,0.820944815,0.003059197,0.016172899,7.09E-05,0.000102233
40,1,0.05,1,1.15,0.3,200,3.75,0.026130878,0.092860184,0.255752286,0.28657298,0.882160871,0.003747784,0.017218301,0.000104447,0.000144018
40,1,0.05,1,1.15,0.3,200,4.5,0.031288492,0.057902532,0.215642468,0.285885764,0.921027635,0.004347214,0.017864348,0.000145616,0.000188211
40,1,0.05,1,1.15,0.3,200,5.25,0.035636255,0.036667563,0.189882051,0.285433044,0.9456732,0.00488178,0.018269148,0.000193536,0.000233932
40,1,0.05,1,1.15,0.3,200,6,0.03899878,0.023609484,0.173176594,0.285121692,0.961352994,0.005371266,0.018527141,0.000246895,0.000280623
40,1,0.05,1,1.15,0.3,200,0.75,0.008371003,0.630886206,0.783572997,0.273750101,0.371381035,0.000560765,0.00759574,1.12E-05,1.06E-05
40,1,0.05,1,1.15,0.3,200,1.5,0.011670246,0.391304143,0.544292183,0.269109364,0.608614752,0.001570962,0.012221453,2.62E-05,3.74E-05
40,1,0.05,1,1.15,0.3,200,2.25,0.016013832,0.241364246,0.391815753,0.266267378,0.759066529,0.002564835,0.01504291,4.68E-05,7.43E-05
40,1,0.05,1,1.15,0.3,200,3,0.021191025,0.148960261,0.295070814,0.264515237,0.854046113,0.003425832,0.016767597,7.42E-05,0.000117623
40,1,0.05,1,1.15,0.3,200,3.75,0.026642051,0.092828303,0.233787605,0.263417435,0.913826705,0.004153423,0.017830182,0.000109426,0.000165055
40,1,0.05,1,1.15,0.3,200,4.5,0.031704196,0.058896727,0.194792867,0.262709503,0.951525093,0.004776601,0.018495228,0.000152312,0.00021505
40,1,0.05,1,1.15,0.3,200,5.25,0.035937595,0.038188282,0.169678281,0.262234663,0.975491414,0.005324926,0.018920439,0.000201941,0.000266666
40,1,0.05,1,1.15,0.3,200,6,0.039228859,0.025286915,0.153212317,0.261901575,0.99091209,0.005821243,0.019198475,0.000256992,0.000319318
40,1,0.05,1,1.15,0.3,200,0.75,0.010145626,0.517421758,0.76646601,0.28618366,0.433255765,0.000915643,0.009974094,1.91E-05,1.68E-05
40,1,0.05,1,1.15,0.3,200,1.5,0.015841429,0.266081009,0.513007877,0.281021459,0.683620256,0.002442155,0.01510766,4.77E-05,5.74E-05
40,1,0.05,1,1.15,0.3,200,2.25,0.023753106,0.129979878,0.370072877,0.278434026,0.823655449,0.003864964,0.017651684,9.11E-05,0.000111587
40,1,0.05,1,1.15,0.3,200,3,0.032322584,0.061505195,0.292957625,0.277158426,0.898262323,0.00508834,0.018865626,0.000152777,0.000173214
40,1,0.05,1,1.15,0.3,200,3.75,0.039220389,0.029082261,0.25305264,0.276508715,0.935948754,0.00616487,0.019436624,0.000231491,0.000238708
40,1,0.05,1,1.15,0.3,200,4.5,0.043605273,0.013963507,0.232739659,0.276146644,0.954215028,0.007154518,0.019707812,0.000322373,0.000306117
40,1,0.05,1,1.15,0.3,200,5.25,0.046020272,0.00680999,0.222262442,0.275917567,0.962740601,0.008096178,0.01983883,0.000420432,0.000374441
40,1,0.05,1,1.15,0.3,200,6,0.047241046,0.00336048,0.21663953,0.275751535,0.966464772,0.009011179,0.019903033,0.000522262,0.000443181
45,0.7,0.02,1,1.05,0.05,100,0.75,0.00247389,0.686675967,0.696972866,0.044648862,0.326724353,0.00119709,0.003685133,1.59E-06,1.73E-05
45,0.7,0.02,1,1.05,0.05,100,1.5,0.003228143,0.469389766,0.479107637,0.042308397,0.540223069,0.00335849,0.006023678,3.51E-06,6.10E-05
45,0.7,0.02,1,1.05,0.05,100,2.25,0.004163263,0.326865625,0.335080466,0.040765959,0.679978119,0.00546407,0.007563732,5.89E-06,0.000121994
45,0.7,0.02,1,1.05,0.05,100,3,0.005248111,0.233037792,0.23944605,0.039712856,0.772002375,0.007233014,0.008613888,8.84E-06,0.000194268
45,0.7,0.02,1,1.05,0.05,100,3.75,0.006422255,0.17079917,0.175357957,0.038967856,0.833184382,0.008646179,0.009355307,1.24E-05,0.000274024
45,0.7,0.02,1,1.05,0.05,100,4.5,0.007609945,0.129000149,0.131794747,0.038421501,0.874434078,0.009760556,0.009897423,1.67E-05,0.000358785
45,0.7,0.02,1,1.05,0.05,100,5.25,0.008744926,0.100440194,0.10162288,0.038006314,0.902753083,0.010642906,0.010307726,2.15E-05,0.000446948
45,0.7,0.02,1,1.05,0.05,100,6,0.009782186,0.080507575,0.080261445,0.037679969,0.922610114,0.011349847,0.010628591,2.70E-05,0.000537469
45,0.7,0.02,1,1.09,0.3,300,0.75,0.003087712,0.544873178,0.700317413,0.269803054,0.39126609,0.002110467,0.028408874,1.63E-05,2.86E-05
45,0.7,0.02,1,1.09,0.3,300,1.5,0.004741351,0.296632808,0.461479826,0.255182474,0.622997021,0.005628945,0.043006615,3.92E-05,9.83E-05
